entry,weight,info,ref_dis,pers,form,bin
小心翼翼推出老模范那辆５０年代买的自行车,14,new,10,3,can,heavy
老党员吕安永接着从屋里搬出老模范生前接待群众来访用的１２个小板凳,19,new,10,0.5,can,heavy
两位白发苍苍的老人一时忘了年龄,2,new,10,0,can,light
人们称颂他为社会扫除了一大垃圾,4,new,10,0,can,light
七嘴八舌推选＂老秀才＂范书进执笔,6,old,1,0.5,can,medium
这时候还放不下架子,2,new,10,0,can,light
可是他们一听说沈阳建起个商业城,3,old,0.5,1,can,light
极大地推动了纺织工业和服装业的发展,11,old,10,0,can,heavy
为抢救群众的生命和国家财产,10,new,10,0,can,heavy
我们投入相等的人力、物力、财力进行勘探,9,new,10,0,can,medium
他为什么早就准备好多张假身份证,6,old,3,1,can,medium
大家一边用毛巾擦汗,1,old,1,0,can,light
除中央放着一块小巧玲珑灰白石头,10,new,10,0,can,heavy
大家用历史和现实说明严是爱、松是害的道理,6,new,10,0,can,medium
老段接过话茬,2,old,10,0,can,light
章大使在递交国书时,2,old,1,0,can,light
小伙子们纷抢新娘的陪嫁－－棉种,7,old,3,0,can,medium
给美国经济输了血,1,new,10,0,can,light
脖子上围着白毛巾,3,new,10,0,can,light
我开发电机,3,old,0.5,0,can,light
并当场让人登上仓顶用电子测温仪进行了测试,2,new,10,0,can,light
国土部门至今不予发放房产所有权证、用地使用证和房屋产权证明书,19,new,10,0,can,heavy
不容分说扶他离开危房,1,old,0.5,0,can,light
做更细的工作,5,new,10,0,can,light
要照顾好江泽民同志,5,old,1,10,can,light
谁拉来投资者,3,old,1,1,can,light
一位中层干部放下手中的武侠小说后申辩,7,new,10,0,can,medium
并通过民间渠道放出＂归还两岛＂和＂共同管理四岛＂等试探性气球,17,new,10,0,can,heavy
这种模式的核心是打破铁饭碗和论资排辈,8,new,10,0,can,medium
日本经济却因采取紧缩银根的金融政策而自我放慢发展速度,4,new,10,0,can,light
昔日的＂要钱树＂变成了如今的＂摇钱树＂,6,old,10,0,can,medium
这家公司抓住国庆前后的有利时机,9,new,10,0,can,medium
托运行李等,2,new,10,0,can,light
当场落实了费用,2,new,10,0,can,light
战友托他们办私事,2,old,1,1,can,light
在国家紧缩银根之际,2,new,10,0.5,can,light
可恰恰忘了自己,2,old,1,2,can,light
我们就能够提高国民经济的效率,7,new,10,0,can,medium
加强销售无非是张三夺李四的饭碗,5,new,10,0,can,light
许多居民不得不跑很远的路到郊区去砍树当做饭的燃料,5,new,10,0,can,light
去年补交了３５００元税款,7,new,10,0,can,medium
秋上老头子闹着种麦,1,new,10,0,can,light
莱芜市的一位干部列出这样一个＂公式＂,6,old,10,1,can,medium
汉正街一改往日沸沸扬扬的喧闹情景,11,new,10,0,can,heavy
象撒下一条条金色丝线,7,new,10,0,can,medium
用６６安精神修建西延铁路,4,old,1,0,can,light
天津市电影公司坚持向观众推荐优秀影片,4,new,10,0,can,light
１９８７年由农业部推出＂菜篮子工程＂,5,new,10,0.5,can,light
在场记者纷纷举起摄像机、照相机、录音机、紧紧包围着这两位对手,5,old,3,0,can,light
分别镶嵌着显示这里１９３１年、１９５４年、１９８３年的最高水位标志牌,27,new,10,,can,heavy
此处不妨开列一些,2,old,10,0,can,light
穿着袜子站在南宁广西电子商场里那用红绒布铺成的彩电展示台上,2,new,10,0,can,light
简直无插足之地,1,new,10,0,can,light
老人是硬撑着病弱的身子来和儿子圆月的,5,new,10,0,can,light
无情的数字告诉了人们一个难以置信、却又不得不接受的事实,16,new,10,0,can,heavy
仿佛更通人性,2,new,10,0,can,light
靠的是抛弃了社会主义企业必须坚持的东西,13,new,10,1,can,heavy
上海的改革开放由此掀开了新的一页,4,new,10,0,can,light
手里带着一本我在美国写的刚出版的《工程控制论》,17,new,10,2,can,heavy
高速度为什么没有带来高效益,3,old,10,0,can,light
